id,time,creative_id,spend,program,duration,network_code,is_dual_feed,rotation,rotation_days,rotation_start,rotation_end,feed
411630,2017-10-16 05:25:32-07:00,f3483f810d44cef79d90a66ab2da1bf0,69.7,RAISING HOPE,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
411630,2017-10-16 08:25:32-07:00,f3483f810d44cef79d90a66ab2da1bf0,15.299999999999999,RAISING HOPE,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
411631,2017-10-16 05:56:36-07:00,eff6a8d032a8ca3ae098381569a9c15f,69.7,RAISING HOPE,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
411631,2017-10-16 08:56:36-07:00,eff6a8d032a8ca3ae098381569a9c15f,15.299999999999999,RAISING HOPE,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
411651,2017-10-16 07:38:41-07:00,5992d996de2f11faa3492960a58de350,69.7,PARKS AND RECREATION,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
411651,2017-10-16 10:38:41-07:00,5992d996de2f11faa3492960a58de350,15.299999999999999,PARKS AND RECREATION,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
411652,2017-10-16 07:38:57-07:00,f3483f810d44cef79d90a66ab2da1bf0,111.52,FANTOMWORKS,17.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
411652,2017-10-16 10:38:57-07:00,f3483f810d44cef79d90a66ab2da1bf0,24.48,FANTOMWORKS,17.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
411675,2017-10-16 09:49:41-07:00,b6cc05016845138a72f2fa2e4f1f1a56,69.7,PARKS AND RECREATION,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
411675,2017-10-16 12:49:41-07:00,b6cc05016845138a72f2fa2e4f1f1a56,15.299999999999999,PARKS AND RECREATION,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
411693,2017-10-16 11:05:14-07:00,f3483f810d44cef79d90a66ab2da1bf0,69.7,MOM,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
411693,2017-10-16 14:05:14-07:00,f3483f810d44cef79d90a66ab2da1bf0,15.299999999999999,MOM,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
411694,2017-10-16 14:39:42-07:00,eff6a8d032a8ca3ae098381569a9c15f,24.48,CHASING CLASSIC CARS,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
411694,2017-10-16 11:39:42-07:00,eff6a8d032a8ca3ae098381569a9c15f,111.52,CHASING CLASSIC CARS,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
411930,2017-10-16 15:16:01-07:00,f3483f810d44cef79d90a66ab2da1bf0,139.4,LARAMIE,14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,1.0
411930,2017-10-16 18:16:01-07:00,f3483f810d44cef79d90a66ab2da1bf0,30.599999999999998,LARAMIE,14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,2.0
412146,2017-10-16 16:20:08-07:00,eff6a8d032a8ca3ae098381569a9c15f,139.4,"WALKER, TEXAS RANGER",14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,1.0
412146,2017-10-16 19:20:08-07:00,eff6a8d032a8ca3ae098381569a9c15f,30.599999999999998,"WALKER, TEXAS RANGER",14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,2.0
412164,2017-10-16 20:21:55-07:00,f3483f810d44cef79d90a66ab2da1bf0,55.08,IT'S ALWAYS SUNNY IN PHILADELPHIA,14.0,VICE,True,Everyday Prime,"{1,2,3,4,5,6,7}",19:00:00,00:00:00,2.0
412164,2017-10-16 17:21:55-07:00,f3483f810d44cef79d90a66ab2da1bf0,250.92,IT'S ALWAYS SUNNY IN PHILADELPHIA,14.0,VICE,True,Everyday Prime,"{1,2,3,4,5,6,7}",19:00:00,00:00:00,1.0
412353,2017-10-16 18:32:03-07:00,5992d996de2f11faa3492960a58de350,139.4,"WALKER, TEXAS RANGER",14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,1.0
412353,2017-10-16 21:32:03-07:00,5992d996de2f11faa3492960a58de350,30.599999999999998,"WALKER, TEXAS RANGER",14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,2.0
412527,2017-10-16 22:52:13-07:00,eff6a8d032a8ca3ae098381569a9c15f,55.08,IT'S ALWAYS SUNNY IN PHILADELPHIA,14.0,VICE,True,Everyday Prime,"{1,2,3,4,5,6,7}",19:00:00,00:00:00,2.0
412527,2017-10-16 19:52:13-07:00,eff6a8d032a8ca3ae098381569a9c15f,250.92,IT'S ALWAYS SUNNY IN PHILADELPHIA,14.0,VICE,True,Everyday Prime,"{1,2,3,4,5,6,7}",19:00:00,00:00:00,1.0
412528,2017-10-16 22:48:01-07:00,b6cc05016845138a72f2fa2e4f1f1a56,30.599999999999998,"WALKER, TEXAS RANGER",14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,2.0
412528,2017-10-16 19:48:01-07:00,b6cc05016845138a72f2fa2e4f1f1a56,139.4,"WALKER, TEXAS RANGER",14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,1.0
412676,2017-10-16 20:09:44-07:00,f3483f810d44cef79d90a66ab2da1bf0,34.85,2016-17 NBA CHAMPIONS: GOLDEN STATE,14.0,NBAT,True,Everyday Prime,"{1,2,3,4,5,6,7}",19:00:00,00:00:00,1.0
